Property Address,Reference#,Mo,Yr,Price,Inst,Area,$/SF,YrBlt,GarType,Gar#,BR,FB,HB,BB,BH,C/A,FP,Bsmt,%Fin,Land SF,Zone,Exterior1,Style,Type
2502 EISENHOWER AVE,05-34-127-010,08,2010,198500,WRD,1555,127.65,1968,Attachd,2,3,2,0,1,0,Yes,1,1303,84,10920,RL,MetalSd,1-Story,1FamDet
2620 PIERCE AVE,05-34-129-140,07,2010,170000,WRD,1456,116.76,1973,Attachd,2,3,2,0,0,0,Yes,1,1156,74,11583,RL,Plywood,1-Story,1FamDet
2408 HAYES AVE,05-34-129-400,05,2011,141500,WRD,1298,109.01,1969,Attachd,2,3,2,0,0,0,Yes,1,1176,0,10200,RL,HdBoard,1-Story,1FamDet
2210 PRAIRIE VIEW EAST,05-34-152-130,10,2010,135000,WRD,1394,96.84,1986,Attachd,2,3,2,0,0,0,Yes,0,1374,18,9655,RL,Plywood,1-Story,1FamDet
2501 TYLER AVE,05-34-201-140,07,2011,158000,WRD,1234,128.04,1967,Attachd,1,3,1,1,1,0,Yes,1,1036,73,9579,RL,HdBoard,1-Story,1FamDet
2305 NORTHWESTERN AVE,05-34-250-180,07,2010,153800,WRD,1232,124.84,1968,Attachd,1,3,1,1,0,0,Yes,0,1232,0,9600,RL,HdBoard,1-Story,1FamDet
2017 NORTHWESTERN AVE,05-34-251-320,06,2010,143000,WRD,1328,107.68,1963,Attachd,2,3,1,1,1,0,Yes,2,1328,49,9790,RL,HdBoard,1-Story,1FamDet
2307 MELROSE AVE,05-34-252-030,07,2011,112900,WRD,864,130.67,1964,Attachd,1,2,1,0,0,0,Yes,0,864,14,9490,RL,HdBoard,1-Story,1FamDet
2317 FERNDALE AVE,05-34-276-010,04,2011,118000,WRD,864,136.57,1958,Detachd,2,3,1,0,1,0,Yes,0,864,80,9100,RL,VinylSd,1-Story,1FamDet
2015 FERNDALE AVE,05-34-276-200,03,2011,122500,WRD,1073,114.17,1957,Attachd,1,3,1,0,0,0,Yes,0,1073,66,7512,RL,WdShing,1-Story,1FamDet
1819 COOLIDGE DR,05-34-400-060,07,2011,186000,WRD,1425,130.53,1964,Attachd,2,3,2,0,0,0,Yes,1,1425,34,10175,RL,HdBoard,1-Story,1FamDet
1801 COOLIDGE DR,05-34-400-090,07,2010,142900,WRD,1185,120.59,1965,Attachd,2,3,2,0,0,1,Yes,1,1185,51,13800,RL,HdBoard,1-Story,1FamDet
1713 NORTHWESTERN AVE,05-34-403-190,01,2011,125000,WRD,1070,116.82,1962,Attachd,1,3,1,1,1,0,Yes,0,1170,73,8800,RL,HdBoard,1-Story,1FamDet
1101 MURRAY DR,05-34-425-220,11,2010,206000,WRD,1900,108.42,1960,Detachd,2,3,2,0,1,0,Yes,2,1900,68,22187,RL,Wd Sdng,1-Story,1FamDet
1804 NORTHWESTERN AVE,05-34-425-280,02,2011,158500,WRD,1414,112.09,1962,Attachd,2,4,1,1,0,0,Yes,0,1414,68,10560,RL,HdBoard,1-Story,1FamDet
1913 ROOSEVELT AVE,05-34-426-030,08,2010,166000,WRD,1470,112.93,1959,Attachd,1,2,2,0,1,0,Yes,0,1040,86,11823,RL,Wd Sdng,1-Story,1FamDet
1909 ROOSEVELT AVE,05-34-426-040,08,2010,147000,WRD,1053,139.60,1959,Attachd,1,3,1,1,1,0,Yes,0,1053,77,10007,RL,HdBoard,1-Story,1FamDet
1922 ROOSEVELT AVE,05-34-427-140,01,2011,128000,COD,1327,96.46,1959,Detachd,2,3,1,0,1,0,Yes,0,1063,38,7388,RL,MetalSd,1-Story,1FamDet
809 NARLAND DR,05-34-428-080,04,2011,122000,WRD,1200,101.67,1961,Attachd,1,4,1,0,0,0,Yes,0,1200,57,10515,RL,Plywood,1-Story,1FamDet
1812 FERNDALE AVE,05-34-429-080,05,2011,154500,WRD,1104,139.95,1960,Attachd,2,3,1,1,0,1,No,0,1040,75,10788,RL,VinylSd,1-Story,1FamDet
1401 RIDGEWOOD AVE,05-34-451-080,04,2011,67996,WRD,720,94.44,1949,Detachd,1,2,1,0,0,0,No,0,0,0,6627,RL,VinylSd,1-Story,1FamDet
1411 CURTISS AVE,05-34-475-100,05,2011,129000,WRD,1063,121.35,1954,Attachd,1,3,1,0,1,0,Yes,0,1056,61,9920,RL,HdBoard,1-Story,1FamDet
1305 CURTISS AVE,05-34-475-160,06,2011,155900,WRD,1624,96.00,1952,Attachd,1,2,1,0,1,0,Yes,1,1444,3,10858,RL,Wd Sdng,1-Story,1FamDet
1417 MARSTON AVE,05-34-476-100,12,2010,127900,WRD,1216,105.18,1951,Attachd,1,3,1,0,1,0,Yes,0,1056,94,9600,RL,HdBoard,1-Story,1FamDet
1328 MARSTON AVE,05-34-477-210,10,2010,175000,WRD,1852,94.49,1954,Attachd,1,3,1,1,1,0,Yes,1,1398,72,9600,RL,MetalSd,1-Story,1FamDet
603 LUTHER DR,05-35-101-070,08,2010,135000,COD,1162,116.18,1965,Attachd,2,3,1,1,0,0,Yes,0,1162,0,10465,RL,MetalSd,1-Story,1FamDet
515 26TH ST,05-35-104-080,12,2010,130000,WRD,1052,123.57,1962,Attachd,1,3,1,0,0,0,Yes,1,1052,72,10890,RL,Plywood,1-Story,1FamDet
516 26TH ST,05-35-105-020,05,2011,124000,WRD,1144,108.39,1961,Attachd,2,3,1,0,0,0,Yes,1,1144,0,8400,RL,HdBoard,1-Story,1FamDet
2735 DUFF AVE,05-35-125-010,07,2010,180000,WRD,2207,81.56,1970,Attachd,2,3,2,0,1,0,Yes,1,1947,47,19900,RL,Plywood,1-Story,1FamDet
