Year,month,inflation,unemployment
1971,Feb,0.0016750418760469248,5.9
1971,Mar,0.003338898163605939,6
1971,Apr,0.003327787021630663,5.9
1971,May,0.004966887417218496,5.9
1971,Jun,0.005761316872428007,5.9
1971,Jul,0.002463054187192095,6
1971,Aug,0.002457002457002434,6.1
1971,Sep,8.183306055647179e-4,6
1971,Oct,0.0016339869281045984,5.8
1971,Nov,0.0016313213703098583,6
1971,Dec,0.004061738424045492,6
1972,Jan,8.116883116883809e-4,5.8
1972,Feb,0.004846526655896561,5.7
1972,Mar,0.0016129032258064746,5.8
1972,Apr,0.0024135156878519483,5.7
1972,May,0.0032076984763432692,5.7
1972,Jun,0.0023999999999999772,5.7
1972,Jul,0.00398406374501992,5.6
1972,Aug,0.0015910898965791793,5.6
1972,Sep,0.003961965134706815,5.5
1972,Oct,0.003159557661927263,5.6
1972,Nov,0.002364066193853517,5.3
1972,Dec,0.0031421838177532716,5.2
1973,Jan,0.0031323414252153927,4.9
1973,Feb,0.00699844479004659,5
1973,Mar,0.009244992295839884,4.9
1973,Apr,0.006885998469777945,5
1973,May,0.006083650190114155,4.9
1973,Jun,0.006797583081571039,4.9
1973,Jul,0.0022607385079124564,4.8
1973,Aug,0.017764618800888275,4.8
1973,Sep,0.002952029520295245,4.8
1973,Oct,0.008052708638360134,4.6
1973,Nov,0.007267441860465116,4.8
1973,Dec,0.006498194945848417,4.9
1974,Jan,0.008589835361488824,5.1
1974,Feb,0.012720848056537183,5.2
1974,Mar,0.011180992313067746,5.1
1974,Apr,0.005559416261292643,5.1
1974,May,0.010996563573883122,5.1
1974,Jun,0.009530292716133463,5.4
1974,Jul,0.007432432432432394,5.5
1974,Aug,0.012675116744496367,5.5
1974,Sep,0.0118655240606459,5.9
1974,Oct,0.008496732026143865,6
1974,Nov,0.008425145819831571,6.6
1974,Dec,0.0070785070785070415,7.2
1975,Jan,0.004484304932735353,8.1
1975,Feb,0.006997455470737878,8.1
1975,Mar,0.0038022813688214367,8.6
1975,Apr,0.005044136191677068,8.8
1975,May,0.004394224733207891,9
1975,Jun,0.008094645080946344,8.8
1975,Jul,0.010474430067775828,8.6
1975,Aug,0.003071253071253071,8.4
1975,Sep,0.004889975550122145,8.4
1975,Oct,0.006075334143377886,8.4
1975,Nov,0.006038647342995169,8.3
1975,Dec,0.004209260372820307,8.2
1976,Jan,0.0023995200959806675,7.9
1976,Feb,0.002393776181927024,7.7
1976,Mar,0.002388059701492571,7.6
1976,Apr,0.004161712247324546,7.7
1976,May,0.0059101654846335705,7.4
1976,Jun,0.0052910052910053245,7.6
1976,Jul,0.0058445353594389245,7.8
1976,Aug,0.004653868528214144,7.8
1976,Sep,0.004055619930475022,7.6
1976,Oct,0.004039238315060686,7.7
1976,Nov,0.00287686996547756,7.8
1976,Dec,0.0028686173264486515,7.8
1977,Jan,0.005704506560182544,7.5
1977,Feb,0.01016374929418398,7.6
1977,Mar,0.006172839506172808,7.4
1977,Apr,0.007795100222717181,7.2
1977,May,0.005537098560354375,7
1977,Jun,0.006600660066006694,7.2
1977,Jul,0.004381161007666939,6.9
1977,Aug,0.003818876159301784,7
1977,Sep,0.0038043478260868947,6.8
1977,Oct,0.0027100271002710027,6.8
1977,Nov,0.004854368932038866,6.8
1977,Dec,0.0037614185921546945,6.4
1978,Jan,0.005876068376068346,6.4
1978,Feb,0.006369426751592447,6.3
1978,Mar,0.007376185458377269,6.3
1978,Apr,0.008877284595300202,6.1
1978,May,0.009311950336264932,6
1978,Jun,0.010240655401945725,5.9
1978,Jul,0.007117437722419814,6.2
1978,Aug,0.005561172901921247,5.9
1978,Sep,0.007526342197691921,6
1978,Oct,0.007964161274265776,5.8
1978,Nov,0.005445544554455417,5.9
1978,Dec,0.004435682602267154,6
1979,Jan,0.008793356130923219,5.9
1979,Feb,0.011588604538870138,5.9
1979,Mar,0.009564801530368245,5.8
1979,Apr,0.01134751773049648,5.8
1979,May,0.012143858010275546,5.6
1979,Jun,0.011542012927054479,5.7
1979,Jul,0.010507080858839704,5.7
1979,Aug,0.009950248756218855,6
1979,Sep,0.010295434198746694,5.9
1979,Oct,0.008873114463176575,6
1979,Nov,0.009230769230769206,5.9
1979,Dec,0.010439321444106158,6
1980,Jan,0.014150943396226343,6.3
1980,Feb,0.013536379018612594,6.3
1980,Mar,0.014178482068390348,6.3
1980,Apr,0.011134020618556653,6.9
1980,May,0.009799918334013906,7.5
1980,Jun,0.01090468497576732,7.6
1980,Jul,8.071025020178251e-4,7.8
1980,Aug,0.006415396952686425,7.7
1980,Sep,0.00913786253476354,7.5
1980,Oct,0.008664828672705857,7.5
1980,Nov,0.008977361436377763,7.5
1980,Dec,0.008513931888544848,7.2
1981,Jan,0.00806142034548953,7.5
1981,Feb,0.01025835866261394,7.4
1981,Mar,0.007167106752169121,7.4
1981,Apr,0.00637181409295348,7.2
1981,May,0.008178438661709996,7.5
1981,Jun,0.008477699963140477,7.5
1981,Jul,0.011297376093294337,7.2
1981,Aug,0.007594936708860842,7.4
1981,Sep,0.010025062656641645,7.6
1981,Oct,0.0021436227224007356,7.9
1981,Nov,0.0028500178126113695,8.3
1981,Dec,0.0028419182948490633,8.5
1982,Jan,0.0035398230088495575,8.6
1982,Feb,0.0031757233592095177,8.9
1982,Mar,-0.0010596962204166532,9
1982,Apr,0.004220893422441043,9.3
1982,May,0.00975269940787186,9.4
1982,Jun,0.012044046799724706,9.6
1982,Jul,0.005475701574264086,9.8
1982,Aug,0.00204918032786893,9.8
1982,Sep,0.0017047391749062393,10.1
1982,Oct,0.002720163209792626,10.4
1982,Nov,-0.0017029972752043594,10.8
1982,Dec,-0.00410396716826281,10.8
1983,Jan,0.0023882633913341706,10.4
1983,Feb,3.410641200544539e-4,10.4
1983,Mar,6.816632583503362e-4,10.3
1983,Apr,0.007106598984771651,10.2
1983,May,0.005385392123864095,10.1
1983,Jun,0.0033545790003354577,10.1
1983,Jul,0.004009355162044733,9.4
1983,Aug,0.00333000333000333,9.5
1983,Sep,0.004970178926441352,9.2
1983,Oct,0.0026437541308658667,8.8
1983,Nov,0.001649620587264929,8.5
1983,Dec,0.0013179571663920174,8.3
1984,Jan,0.005570117955439019,8
1984,Feb,0.004566210045662211,7.8
1984,Mar,0.0022779043280181863,7.8
1984,Apr,0.0048575129533678756,7.7
1984,May,0.002906038101388367,7.4
1984,Jun,0.00321853878339234,7.2
1984,Jul,0.003208213025344883,7.5
1984,Aug,0.004153354632587896,7.5
1984,Sep,0.0047694753577106515,7.3
1984,Oct,0.002537266095781831,7.4
1984,Nov,0,7.2
1984,Dec,6.339144215530543e-4,7.3
1985,Jan,0.001898133502056383,7.3
1985,Feb,0.00409577819785745,7.2
1985,Mar,0.004391468005018927,7.2
1985,Apr,0.004061230865354612,7.3
1985,May,0.0037348272642389936,7.2
1985,Jun,0.0031026993484331365,7.4
1985,Jul,0.0015489467162329614,7.4
1985,Aug,0.0021638330757341225,7.1
1985,Sep,0.0030816640986132513,7.1
1985,Oct,0.0030721966205837174,7.1
1985,Nov,0.003368034292712868,7
1985,Dec,0.002443494196701144,7
1986,Jan,0.0030450669914738127,6.7
1986,Feb,-0.0027480916030533657,7.2
1986,Mar,-0.004601226993865031,7.2
1986,Apr,-0.0021518598217030085,7.1
1986,May,0.0030646644192460926,7.2
1986,Jun,0.004879536444037713,7.2
1986,Jul,3.0487804878055714e-4,7
1986,Aug,0.001825928180158316,6.9
1986,Sep,0.0048455481526346635,7
1986,Oct,9.077155824508664e-4,7
1986,Nov,9.068923821040247e-4,6.9
1986,Dec,9.060706735125682e-4,6.6
1987,Jan,0.006004202942059441,6.6
1987,Feb,0.0038875598086123044,6.6
1987,Mar,0.004465614766299494,6.6
1987,Apr,0.005330174711282237,6.3
1987,May,0.002952465308532625,6.3
1987,Jun,0.004116436342252379,6.2
1987,Jul,0.0020539906103286053,6.1
1987,Aug,0.0055442077618908,6
1987,Sep,0.004936120789779294,5.9
1987,Oct,0.002606429192007049,6
1987,Nov,0.0014459224985540775,5.8
1987,Dec,-2.892681515765772e-4,5.7
1988,Jan,0.002884338044418806,5.7
1988,Feb,0.002014968336211827,5.7
1988,Mar,0.004584527220630437,5.7
1988,Apr,0.0051311288483466685,5.4
1988,May,0.003409090909090877,5.6
1988,Jun,0.004243281471004243,5.4
1988,Jul,0.003944773175542342,5.4
1988,Aug,0.004767246214245781,5.6
1988,Sep,0.006408470325995973,5.4
1988,Oct,0.0033324076645377546,5.4
1988,Nov,0.0011095700416088134,5.3
1988,Dec,0.0011083402604598982,5.3
1989,Jan,0.004962779156327575,5.4
1989,Feb,0.003845097500686718,5.2
1989,Mar,0.0057345712725285795,5
1989,Apr,0.007049891540130213,5.2
1989,May,0.005393743257820927,5.2
1989,Jun,0.0024213075060532077,5.3
1989,Jul,0.002683123155352831,5.2
1989,Aug,0.0010720986330743341,5.2
1989,Sep,0.00400427122263748,5.3
1989,Oct,0.004253056884635741,5.3
1989,Nov,0.0021220159151193936,5.4
1989,Dec,0.0015889830508475178,5.4
1990,Jan,0.010222804718217503,5.4
