sowid	cg	nba	parity	nbd	sire	dam	farm	yearmo
985120020550979	62200511	4	3	0	C62LA2746	985120012076420	62	200511
985120020551207	62200411	8	1	0	C40LA11101	985120011550216	62	200411
985120020551207	62200504	8	2	0	C40LA11101	985120011550216	62	200504
985120020551207	62200509	11	3	0	C40LA11101	985120011550216	62	200509
985120020551868	62200410	9	1	2	C62LA2746	985120012076420	62	200410
985120020551868	62200503	11	2	0	C62LA2746	985120012076420	62	200503
985120020551868	62200507	5	3	1	C62LA2746	985120012076420	62	200507
985120020551868	62200512	8	4	0	C62LA2746	985120012076420	62	200512
985120020553337	62200409	12	1	1	C60LA2707	985120011673488	62	200409
985120020553356	62200409	7	1	0	C40LY52753	985120012132617	62	200409
985120020553356	62200502	13	2	0	C40LY52753	985120012132617	62	200502
985120020553497	62200502	0	1	4	C60LY12297	985120012451969	62	200502
985120020554294	62200411	14	1	0	C40LA11195	985120011540903	62	200411
985120020554294	62200504	12	2	0	C40LA11195	985120011540903	62	200504
985120020554294	62200508	7	3	2	C40LA11195	985120011540903	62	200508
985120020554294	62200601	9	4	1	C40LA11195	985120011540903	62	200601
985120020556315	62200411	9	1	3	C40LA11101	985120011550216	62	200411
985120020556315	62200504	13	2	0	C40LA11101	985120011550216	62	200504
985120020556315	62200509	7	3	7	C40LA11101	985120011550216	62	200509
985120020556766	62200410	13	1	1	C40LY52753	985120011556434	62	200410
985120020556766	62200503	12	2	0	C40LY52753	985120011556434	62	200503
985120020556766	62200508	11	3	0	C40LY52753	985120011556434	62	200508
985120020556807	62200409	8	1	0	C60LY12342	985120023217073	62	200409
985120020556807	62200501	10	2	0	C60LY12342	985120023217073	62	200501
985120020556807	62200506	8	3	0	C60LY12342	985120023217073	62	200506
985120020556807	62200511	9	4	0	C60LY12342	985120023217073	62	200511
985120020557751	62200410	9	1	0	C40LY52753	985120011537439	62	200410
985120020557953	62200410	13	1	0	C40LY52753	985120012132617	62	200410
985120020557953	62200503	12	2	0	C40LY52753	985120012132617	62	200503
985120020557953	62200507	13	3	0	C40LY52753	985120012132617	62	200507
985120020557953	62200512	11	4	0	C40LY52753	985120012132617	62	200512
985120020558034	62200409	7	1	0	C40LY52753	985120011680282	62	200409
985120020558034	62200502	12	2	0	C40LY52753	985120011680282	62	200502
985120020558065	62200411	12	1	0	C40LA11195	985120011540903	62	200411
985120020558065	62200504	10	2	0	C40LA11195	985120011540903	62	200504
985120020558065	62200509	12	3	0	C40LA11195	985120011540903	62	200509
985120020558065	62200601	15	4	0	C40LA11195	985120011540903	62	200601
985120022764341	62200408	16	1	2	C60LA2707	985120011574627	62	200408
985120022764341	62200501	12	2	2	C60LA2707	985120011574627	62	200501
985120022775255	62200203	15	1	0	C60LW10451	C60LW11056	62	200203
985120022775255	62200208	14	2	0	C60LW10451	C60LW11056	62	200208
985120022775539	62200605	12	1	0	013698	985120025838102	62	200605
985120022775539	62200609	6	2	1	013698	985120025838102	62	200609
985120022778001	62200405	4	1	0	C40LA11098	985120012075185	62	200405
985120022778704	62200605	5	1	0	014086	985120025852354	62	200605
985120022782882	62200408	13	1	1	C40LA11101	985120012067158	62	200408
985120022786121	62200405	10	1	0	C63LA2581	985120012454239	62	200405
985120022786121	62200410	11	2	0	C63LA2581	985120012454239	62	200410
985120022786121	62200503	13	3	0	C63LA2581	985120012454239	62	200503
985120022786121	62200507	11	4	0	C63LA2581	985120012454239	62	200507
985120022787244	62200405	15	1	1	C63LY12137	985120012076420	62	200405
985120022787244	62200410	9	2	1	C63LY12137	985120012076420	62	200410
985120022787244	62200503	12	3	0	C63LY12137	985120012076420	62	200503
985120022788347	62200408	2	1	0	C40LY52753	985120012178849	62	200408
985120022788347	62200412	10	2	2	C40LY52753	985120012178849	62	200412
985120022788347	62200505	11	3	0	C40LY52753	985120012178849	62	200505
985120022788347	62200510	10	4	0	C40LY52753	985120012178849	62	200510
985120022789903	62200605	9	1	0	019800	985120025845822	62	200605
985120022789903	62200610	9	2	0	019800	985120025845822	62	200610
985120022790353	62200408	11	1	1	C63LY12126	985120012131584	62	200408
985120022790726	62200409	12	1	2	C60LA2707	985120011673488	62	200409
985120022790726	62200502	10	2	0	C60LA2707	985120011673488	62	200502
985120022790726	62200506	12	3	1	C60LA2707	985120011673488	62	200506
985120022790726	62200511	10	4	0	C60LA2707	985120011673488	62	200511
985120022790874	62200408	10	1	0	C40LY52753	985120011537439	62	200408
985120022790874	62200503	13	2	0	C40LY52753	985120011537439	62	200503
985120022791532	62200405	10	1	2	C60LY12297	985120012461128	62	200405
985120022791532	62200410	11	2	1	C60LY12297	985120012461128	62	200410
985120022791532	62200502	10	3	3	C60LY12297	985120012461128	62	200502
985120022791532	62200508	13	4	0	C60LY12297	985120012461128	62	200508
985120022791532	62200601	10	5	0	C60LY12297	985120012461128	62	200601
985120022791744	62200409	12	1	0	C60LA2707	985120011673488	62	200409
985120022791744	62200502	11	2	2	C60LA2707	985120011673488	62	200502
985120022792285	62200408	10	1	2	C63LY12313	985120011673002	62	200408
985120022792285	62200502	12	2	1	C63LY12313	985120011673002	62	200502
985120022792285	62200507	13	3	0	C63LY12313	985120011673002	62	200507
985120022795820	62200410	9	1	0	C63LA2051	985120011590145	62	200410
985120022795820	62200502	12	2	3	C63LA2051	985120011590145	62	200502
985120022795820	62200507	12	3	0	C63LA2051	985120011590145	62	200507
985120022797251	62200409	15	1	0	C40LY52753	985120011678972	62	200409
985120022797251	62200502	14	2	0	C40LY52753	985120011678972	62	200502
985120022797800	62200408	13	1	1	C40LA11101	985120011548058	62	200408
985120022797800	62200502	13	2	0	C40LA11101	985120011548058	62	200502
985120022798165	62200409	10	1	0	C40LY52753	985120012178849	62	200409
985120022798165	62200502	10	2	1	C40LY52753	985120012178849	62	200502
985120022798165	62200506	13	3	0	C40LY52753	985120012178849	62	200506
985120022798624	62200408	7	1	1	C60LY12342	985120023217073	62	200408
985120022798624	62200502	14	2	1	C60LY12342	985120023217073	62	200502
985120022798624	62200506	13	3	0	C60LY12342	985120023217073	62	200506
985120022799562	62200309	9	1	0	C60LY9182	985120012456999	62	200309
985120022799562	62200401	9	2	0	C60LY9182	985120012456999	62	200401
985120022799735	62200408	8	1	0	C40LA11098	985120023252599	62	200408
985120022799735	62200501	13	2	0	C40LA11098	985120023252599	62	200501
985120022799735	62200506	12	3	0	C40LA11098	985120023252599	62	200506
985120022799735	62200511	4	4	1	C40LA11098	985120023252599	62	200511
985120022800914	62200407	12	1	0	C63LY11850	985120011560073	62	200407
985120022804330	62200605	9	1	0	013698	985120025838102	62	200605
985120022804330	62200610	8	2	1	013698	985120025838102	62	200610
985120022804330	62200703	13	3	0	013698	985120025838102	62	200703
985120022822378	62200409	11	1	1	C63LA2051	985120011557270	62	200409
985120022822378	62200502	9	2	0	C63LA2051	985120011557270	62	200502
985120022822378	62200506	14	3	3	C63LA2051	985120011557270	62	200506
985120022822378	62200511	15	4	0	C63LA2051	985120011557270	62	200511
985120022844655	62200605	13	1	2	019800	985120023255195	62	200605
985120022844655	62200611	10	2	1	019800	985120023255195	62	200611
985120022844655	62200704	11	3	0	019800	985120023255195	62	200704
985120022844655	62200708	12	4	0	019800	985120023255195	62	200708
985120022860746	62200203	12	1	0	C63LX1597	C60LW10454	62	200203
985120022865984	62200203	12	1	0	C63LW11849	C63LW10945	62	200203
985120022865984	62200208	14	2	3	C63LW11849	C63LW10945	62	200208
985120022878280	62200204	10	1	1	C60LX3542	C60LW10856	62	200204
985120022954725	62200204	11	1	0	C63LX1597	C60LW6506	62	200204
985120022954725	62200208	13	2	0	C63LX1597	C60LW6506	62	200208
985120023061023	62200311	4	1	0	C63LY12187	985120012456999	62	200311
985120023061023	62200408	8	2	4	C63LY12187	985120012456999	62	200408
985120023062087	62200407	11	1	0	C40LA11098	985120012456999	62	200407
985120023063053	62200408	11	1	0	C60LA2707	985120011574627	62	200408
985120023063298	62200407	11	1	0	C63LA2051	985120011590145	62	200407
985120023063298	62200411	12	2	3	C63LA2051	985120011590145	62	200411
985120023063298	62200504	7	3	1	C63LA2051	985120011590145	62	200504
985120023063298	62200508	13	4	0	C63LA2051	985120011590145	62	200508
985120023063401	62200407	8	1	0	C60LA2707	985120011574627	62	200407
985120023063987	62200409	8	1	0	C40LA11098	985120011559159	62	200409
985120023064148	62200407	2	1	1	C40LY52753	985120011537439	62	200407
985120023064148	62200412	2	2	1	C40LY52753	985120011537439	62	200412
985120023066325	62200408	11	1	1	C40LY52753	985120011537439	62	200408
985120023066882	62200408	9	1	0	C40LY52753	985120011556434	62	200408
985120023067435	62200409	11	1	0	C60LA2707	985120011673488	62	200409
985120023067435	62200502	11	2	0	C60LA2707	985120011673488	62	200502
985120023067435	62200507	13	3	1	C60LA2707	985120011673488	62	200507
985120023067435	62200511	12	4	0	C60LA2707	985120011673488	62	200511
